Titel,Notiz,URL,Kommentar
Okinii Köln,,https://www.google.com/maps/place/Okinii+K%C3%B6ln/data=!4m2!3m1!1s0x47bf25b28470ac81:0x65cc3bb2e57ed70a,
Zugspitze,,https://www.google.com/maps/place/Zugspitze/data=!4m2!3m1!1s0x479d02ee5107876d:0x34e257ebca223d97,
Schmetterlingspfad Willebadessen,,https://www.google.com/maps/place/Schmetterlingspfad+Willebadessen/data=!4m2!3m1!1s0x47bb019d60675d9d:0xb80e351136d8253b,
Erholungsstätte Lörick,,https://www.google.com/maps/place/Erholungsst%C3%A4tte+L%C3%B6rick/data=!4m2!3m1!1s0x47b8b61aa147df7b:0xfcc19085deb53609,
Japanese Garden,,https://www.google.com/maps/place/Japanese+Garden/data=!4m2!3m1!1s0x47b8b6178b97bdb5:0xf4c28728cdd4724d,
Botanical Garden of the Heinrich Heine University Düsseldorf,,https://www.google.com/maps/place/Botanical+Garden+of+the+Heinrich+Heine+University+D%C3%BCsseldorf/data=!4m2!3m1!1s0x47b8cb0701bf9a99:0x37431fc028d090d5,
"Campingplatz ""Am Freesenbruch"" Zingst",,https://www.google.com/maps/place/Campingplatz+%22Am+Freesenbruch%22+Zingst/data=!4m2!3m1!1s0x47ac95c7d0016565:0xe5478a3d79eebf1a,
Floß / Hausboot mieten Tom Sawyer,,https://www.google.com/maps/place/Flo%C3%9F+%2F+Hausboot+mieten+Tom+Sawyer/data=!4m2!3m1!1s0x47a95ff82e087c7f:0xdab54dfbba87f096,
Zierker See,,https://www.google.com/maps/place/Zierker+See/data=!4m2!3m1!1s0x47a95f8d4e003413:0xa18f2f2f9018ee70,
Precise Resort Marina Wolfsbruch,,https://www.google.com/maps/place/Precise+Resort+Marina+Wolfsbruch/data=!4m2!3m1!1s0x47a94310626ff705:0x66529cd1e0750b25,
Wanderparkplatz Bauerkamp,,https://www.google.com/maps/place/Wanderparkplatz+Bauerkamp/data=!4m2!3m1!1s0x47ba504aa0a548a7:0x65437f26efefecb3,
Parkplatz im Stryck,,https://www.google.com/maps/place/Parkplatz+im+Stryck/data=!4m2!3m1!1s0x47bb91f54c1e539f:0x3725eeda4578424e,
Kume Island,,https://www.google.com/maps/place/Kume+Island/data=!4m2!3m1!1s0x34fa9b686d00c94d:0x597a394c514398c4,
Yap,,https://www.google.com/maps/place/Yap/data=!4m2!3m1!1s0x677102151db03a41:0xfc9e5841872ab79c,
Cook Islands,,https://www.google.com/maps/place/Cook+Islands/data=!4m2!3m1!1s0x71548aefb97bdedd:0x24ca50e8808b4d8,
1816 Maxwell Mountain Rd,,https://www.google.com/maps/place/1816+Maxwell+Mountain+Rd/data=!4m2!3m1!1s0x54eb2ee7bcaf622f:0x625ce91d5fc36c82,
Cape Meares Lighthouse,,https://www.google.com/maps/place/Cape+Meares+Lighthouse/data=!4m2!3m1!1s0x54eb2edc8864154f:0x675bcdefc594186c,
805 Garibaldi Ave,,https://www.google.com/maps/place/805+Garibaldi+Ave/data=!4m2!3m1!1s0x54eb32ba2c702917:0xe0a968623e9a5438,
Netarts,,https://www.google.com/maps/place/Netarts/data=!4m2!3m1!1s0x54eb2926e38f54ad:0x1703374677442d3d,
La Pine,,https://www.google.com/maps/place/La+Pine/data=!4m2!3m1!1s0x54b882ee605a1851:0x8d0493ec291fa151,
Rockaway Beach,,https://www.google.com/maps/place/Rockaway+Beach/data=!4m2!3m1!1s0x5494cca432cb3d05:0xe00261a220abd697,
"43°29'21.3""N 121°26'07.2""W",,"https://www.google.com/maps/search/43.489257,-121.43532",
Iquitos,,https://www.google.com/maps/place/Iquitos/data=!4m2!3m1!1s0x91ea10b0e440c1cb:0x9210b8d7040a6692,
Sommerrodelbahn & Sesselbahn / Skilifte Willingen,,https://www.google.com/maps/place/Sommerrodelbahn+%26+Sesselbahn+%2F+Skilifte+Willingen/data=!4m2!3m1!1s0x47bb941b67717505:0x6673489aeabcc917,
Poppenberg,,https://www.google.com/maps/place/Poppenberg/data=!4m2!3m1!1s0x47bb8d70d7aad583:0xe49cbcaeb58fb96e,
Khao Yai National Park,,https://www.google.com/maps/place/Khao+Yai+National+Park/data=!4m2!3m1!1s0x311c2a495f2143d7:0x14b500fc4f22bfc,
Barfußpfad Hoher Meißner,,https://www.google.com/maps/place/Barfu%C3%9Fpfad+Hoher+Mei%C3%9Fner/data=!4m2!3m1!1s0x47a4b4392f5ba233:0x168b17e404d99211,
Parkplatz Steinbeke,,https://www.google.com/maps/place/Parkplatz+Steinbeke/data=!4m2!3m1!1s0x47ba51fde5df7cff:0xfbd5086f5a907c90,
Wasserpark am Iberg,,https://www.google.com/maps/place/Wasserpark+am+Iberg/data=!4m2!3m1!1s0x47ba40b27dd519d3:0x49aecda742a39dea,
Märchenwald Altenberg,,https://www.google.com/maps/place/M%C3%A4rchenwald+Altenberg/data=!4m2!3m1!1s0x47bf2a09a13d9a5d:0xab6c1c44ad39ee98,
Pattaya City,,https://www.google.com/maps/place/Pattaya+City/data=!4m2!3m1!1s0x310295924d31d7e3:0xa97ff301a9bd10ff,
Rocket Beans Entertainment,,https://www.google.com/maps/place/Rocket+Beans+Entertainment/data=!4m2!3m1!1s0x47b18f5c8c8c6915:0xbc7e317ee40b4277,
Wakeboardanlage Kliemannsland,,https://www.google.com/maps/place/Wakeboardanlage+Kliemannsland/data=!4m2!3m1!1s0x47b10e736998617d:0x9f4f8b3e638da632,
